   109    0.30089E+04    0.87461E+00    0.31680E-02   -0.29012E+02
   110    0.30424E+04    0.88684E+00    0.32279E-02   -0.29643E+02
   111    0.30758E+04    0.89885E+00    0.32885E-02   -0.30269E+02
   112    0.31095E+04    0.91050E+00    0.33498E-02   -0.30891E+02
   113    0.31434E+04    0.92193E+00    0.34117E-02   -0.31506E+02
   114    0.31772E+04    0.93298E+00    0.34743E-02   -0.32115E+02
   115    0.32113E+04    0.94374E+00    0.35376E-02   -0.32716E+02
   116    0.32454E+04    0.95413E+00    0.36016E-02   -0.33310E+02
   117    0.32797E+04    0.96415E+00    0.36662E-02   -0.33896E+02
   118    0.33141E+04    0.97388E+00    0.37315E-02   -0.34474E+02
   119    0.33485E+04    0.98323E+00    0.37975E-02   -0.35042E+02
   120    0.33830E+04    0.99213E+00    0.38642E-02   -0.35600E+02
   121    0.34176E+04    0.10007E+01    0.39316E-02   -0.36148E+02
   122    0.34522E+04    0.10089E+01    0.39997E-02   -0.36685E+02
   123    0.34869E+04    0.10166E+01    0.40685E-02   -0.37211E+02
   124    0.35217E+04    0.10240E+01    0.41380E-02   -0.37724E+02
   125    0.35564E+04    0.10309E+01    0.42083E-02   -0.38225E+02
   126    0.35912E+04    0.10374E+01    0.42792E-02   -0.38713E+02
   127    0.36261E+04    0.10434E+01    0.43509E-02   -0.39189E+02
   128    0.36609E+04    0.10490E+01    0.44234E-02   -0.39649E+02
   129    0.36957E+04    0.10541E+01    0.44965E-02   -0.40095E+02
   130    0.37305E+04    0.10588E+01    0.45705E-02   -0.40525E+02
   131    0.37652E+04    0.10630E+01    0.46451E-02   -0.40941E+02
   132    0.38000E+04    0.10667E+01    0.47206E-02   -0.41340E+02
   133    0.38347E+04    0.10701E+01    0.47967E-02   -0.41723E+02
   134    0.38694E+04    0.10728E+01    0.48737E-02   -0.42088E+02
   135    0.39041E+04    0.10752E+01    0.49514E-02   -0.42435E+02
   136    0.39386E+04    0.10770E+01    0.50299E-02   -0.42764E+02
   137    0.39730E+04    0.10784E+01    0.51092E-02   -0.43076E+02
   138    0.40075E+04    0.10793E+01    0.51893E-02   -0.43367E+02
   139    0.40417E+04    0.10798E+01    0.52702E-02   -0.43640E+02
   140    0.40759E+04    0.10797E+01    0.53519E-02   -0.43892E+02
   141    0.41099E+04    0.10791E+01    0.54344E-02   -0.44124E+02
   142    0.41438E+04    0.10782E+01    0.55177E-02   -0.44335E+02
   143    0.41777E+04    0.10767E+01    0.56018E-02   -0.44524E+02
   144    0.42113E+04    0.10748E+01    0.56868E-02   -0.44693E+02
   145    0.42447E+04    0.10724E+01    0.57726E-02   -0.44839E+02
   146    0.42781E+04    0.10696E+01    0.58593E-02   -0.44963E+02
   147    0.43111E+04    0.10664E+01    0.59468E-02   -0.45064E+02
   148    0.43440E+04    0.10627E+01    0.60351E-02   -0.45141E+02
   149    0.43767E+04    0.10585E+01    0.61243E-02   -0.45196E+02
   150    0.44092E+04    0.10540E+01    0.62144E-02   -0.45227E+02
   151    0.44415E+04    0.10490E+01    0.63053E-02   -0.45233E+02
   152    0.44735E+04    0.10436E+01    0.63971E-02   -0.45216E+02
   153    0.45054E+04    0.10379E+01    0.64898E-02   -0.45173E+02
   154    0.45370E+04    0.10317E+01    0.65833E-02   -0.45106E+02
   155    0.45684E+04    0.10252E+01    0.66778E-02   -0.45015E+02
   156    0.45995E+04    0.10183E+01    0.67732E-02   -0.44898E+02
   157    0.46305E+04    0.10111E+01    0.68694E-02   -0.44757E+02
   158    0.46613E+04    0.10035E+01    0.69665E-02   -0.44589E+02
   159    0.46918E+04    0.99559E+00    0.70646E-02   -0.44397E+02
   160    0.47221E+04    0.98733E+00    0.71635E-02   -0.44178E+02
   161    0.47521E+04    0.97885E+00    0.72634E-02   -0.43934E+02
   162    0.47819E+04    0.97007E+00    0.73642E-02   -0.43664E+02
   163    0.48114E+04    0.96107E+00    0.74658E-02   -0.43367E+02
   164    0.48406E+04    0.95176E+00    0.75684E-02   -0.43044E+02
   165    0.48696E+04    0.94231E+00    0.76720E-02   -0.42694E+02
   166    0.48981E+04    0.93263E+00    0.77764E-02   -0.42317E+02
   167    0.49265E+04    0.92272E+00    0.78817E-02   -0.41915E+02
   168    0.49544E+04    0.91274E+00    0.79880E-02   -0.41484E+02
   169    0.49821E+04    0.90253E+00    0.80952E-02   -0.41027E+02
   170    0.50093E+04    0.89232E+00    0.82032E-02   -0.40543E+02
   171    0.50362E+04    0.88196E+00    0.83122E-02   -0.40032E+02
   172    0.50627E+04    0.87152E+00    0.84222E-02   -0.39492E+02
   173    0.50887E+04    0.86100E+00    0.85330E-02   -0.38926E+02
   174    0.51144E+04    0.85056E+00    0.86447E-02   -0.38334E+02
   175    0.51398E+04    0.84011E+00    0.87573E-02   -0.37713E+02
   176    0.51646E+04    0.82965E+00    0.88709E-02   -0.37065E+02
   177    0.51890E+04    0.81927E+00    0.89853E-02   -0.36390E+02
   178    0.52129E+04    0.80903E+00    0.91006E-02   -0.35687E+02
   179    0.52363E+04    0.79886E+00    0.92168E-02   -0.34958E+02
   180    0.52594E+04    0.78884E+00    0.93339E-02   -0.34201E+02
   181    0.52819E+04    0.77903E+00    0.94518E-02   -0.33417E+02
   182    0.53040E+04    0.76944E+00    0.95707E-02   -0.32607E+02
   183    0.53255E+04    0.76003E+00    0.96903E-02   -0.31770E+02
   184    0.53466E+04    0.75094E+00    0.98109E-02   -0.30906E+02
   185    0.53672E+04    0.74214E+00    0.99322E-02   -0.30016E+02
   186    0.53872E+04    0.73367E+00    0.10054E-01   -0.29100E+02
   187    0.54068E+04    0.72556E+00    0.10178E-01   -0.28158E+02
   188    0.54259E+04    0.71786E+00    0.10301E-01   -0.27191E+02
